SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10017,ERCOT,ONCOR,,99,10017,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0,17,Y
10018,ERCOT,ONCOR,,30,10018,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0,18,Y
10019,ERCOT,ONCOR,,33,10019,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0,19,Y
10020,ERCOT,ONCOR,,36,10020,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0,20,Y
10021,ERCOT,ONCOR,,39,10021,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0,21,Y
10022,ERCOT,ONCOR,,42,10022,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0,22,Y
10023,ERCOT,ONCOR,,44,10023,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0,23,Y
10024,ERCOT,ONCOR,,46,10024,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0,24,Y
10025,ERCOT,ONCOR,,47,10025,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0,25,Y
10026,ERCOT,ONCOR,,48,10026,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0,26,Y
10027,ERCOT,ONCOR,,49,10027,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0,27,Y
10028,ERCOT,AEPCPL,,834,10028,ERCOT,AEPCPL,,ERCOT_BUS,IDR,A,Secondary,TX,0,28,Y
10029,ERCOT,AEPCPL,,835,10029,ERCOT,AEPCPL,,ERCOT_BUS,IDR,A,Secondary,TX,0,29,Y
10030,ERCOT,AEPCPL,,839,10030,ERCOT,AEPCPL,,ERCOT_BUS,IDR,A,Secondary,TX,0,30,Y
10031,ERCOT,AEPCPL,,842,10031,ERCOT,AEPCPL,,ERCOT_BUS,IDR,B,Primary,TX,0,31,Y
10032,ERCOT,AEPCPL,,845,10032,ERCOT,AEPCPL,,ERCOT_BUS,IDR,B,Primary,TX,0,32,Y
10033,ERCOT,AEPCPL,,849,10033,ERCOT,AEPCPL,,ERCOT_BUS,IDR,B,Primary,TX,0,33,Y
10034,ERCOT,AEPCPL,,856,10034,ERCOT,AEPCPL,,ERCOT_BUS,IDR,A,Secondary,TX,0,34,Y
10035,ERCOT,AEPCPL,,858,10035,ERCOT,AEPCPL,,ERCOT_BUS,IDR,A,Secondary,TX,0,35,Y
10036,ERCOT,AEPCPL,,860,10036,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,36,Y
10037,ERCOT,AEPCPL,,863,10037,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,37,Y
10038,ERCOT,AEPCPL,,864,10038,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,38,Y
10039,ERCOT,AEPCPL,,865,10039,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,39,Y
10040,ERCOT,AEPCPL,,870,10040,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,40,Y
10041,ERCOT,AEPCPL,,871,10041,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,41,Y
10042,ERCOT,AEPCPL,,872,10042,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,42,Y
10043,ERCOT,AEPCPL,,873,10043,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,43,Y
10044,ERCOT,AEPCPL,,874,10044,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,44,Y
10045,ERCOT,AEPCPL,,875,10045,ERCOT,AEPCPL,,ERCOT_BUS,IDR,T,Transmission,TX,0,45,Y
10046,ERCOT,AEPWTU,,837,10046,ERCOT,AEPWTU,,ERCOT_BUS,IDR,A,Secondary,TX,0,46,Y
10047,ERCOT,AEPWTU,,839,10047,ERCOT,AEPWTU,,ERCOT_BUS,IDR,A,Secondary,TX,0,47,Y
10048,ERCOT,AEPWTU,,842,10048,ERCOT,AEPWTU,,ERCOT_BUS,IDR,B,Primary,TX,0,48,Y
10049,ERCOT,AEPWTU,,845,10049,ERCOT,AEPWTU,,ERCOT_BUS,IDR,B,Primary,TX,0,49,Y
