Row Labels,Count of UID_MAP
3T3,1
3T8,2
PME1_TN,1
PMEL_UMSL,1
PEPCODC,22
150,1
153,1
170,1
176,1
178,1
180,2
1A0,3
1A1,1
1A2,1
1A3,2
1A4,1
1A5,1
1A6,2
1A7,1
1A8,1
1A9,1
1B0,1
PPL,3
DS01,1
OE-GSD,2
PSEG,3
PSAL,1
RHS (HTG),1
RS (HTG),1
RECO,13
X3E,1
X3R,1
Y1L,1
Y2D,1
Y2L,1
Y3E,1
Y4L,1
Y5D,1
Y5H,1
Y6D,1
Y8D,1
Y8E,1
Y9D,1
(blank),
(blank),
(blank),
Grand Total,755
