ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,SIEBELRATE,SIEBELPROFILE,SISBELLOSSCODE
"52,441",PJM,DQE,DQE_IDR,GLH-MI,IDR,GLH,,PA,0,"7,541",Y,,,1
"52,452",PJM,DQE,GSGM,GMG-MC,SCALAR,GSGM,,PA,0,"7,552",Y,1,,1
"52,720",PJM,DQE,RH,RH--M,SCALAR,AL,,PA,1,"7,770",Y,,,1
"52,736",PJM,METED,MRTNH,RS,SCALAR,SECONDARY,SECONDARY,PA,1,"7,786",Y,1,,1
"52,737",PJM,METED,MRTHT,RS,SCALAR,SECONDARY,SECONDARY,PA,1,"7,787",Y,1,,1
"52,818",PJM,METED,GSTI,GST,IDR,SECONDARY,,PA,0,"7,868",Y,1,,1
"52,914",PJM,DPLDE,MONTHLY,ULGSTOUH,SCALAR,SECONDARY,,DE,0,"7,964",Y,,,
"52,918",PJM,APSPA,GSCL,WP-GP30SF,SCALAR,SECONDARY,WP_SEC,PA,0,"7,968",Y,1,,1
"52,999",PJM,DEOK,FR0,GFL2,SCALAR,SECONDARY,,OHIO,0,"8,049",Y,1,,1
"53,002",PJM,APS,GSCS,PE-GSC2F,SCALAR,SECONDARY,PE_SEC,MD,0,"8,052",Y,1,,1
"53,144",PJM,DAYTON,SS05,757,SCALAR,SECONDARY,,OH,0,"8,194",Y,1,,1
"53,216",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,266",N,1,,1
"53,217",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,267",N,1,,1
"53,218",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,268",N,1,,1
"53,219",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,269",N,1,,1
"53,220",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,270",N,1,,1
"53,221",PJM,ATSITE,TE_GPF_IDR,TE-GPF,IDR,PRIMARY,,OH,0,"8,271",N,1,,1
"53,229",PJM,ATSIPP,PP_SL,PP-GSD,SCALAR,SECONDARY,,PA,0,"8,279",Y,1,,1
"53,276",PJM,APS,GSIS,PE-PH2D,SCALAR,SECONDARY,PE_SEC,MD,0,"8,326",Y,1,,1
"53,299",PJM,DPLDE,IDR,UMGSSBASIC,IDR,SECONDARY_120_480V,,DE,0,"8,349",Y,1,,1
