,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
31,10082,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,82,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
32,10083,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,83,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
33,10084,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,84,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
34,10085,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,85,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
35,10086,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,86,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
36,10087,ERCOT,CPT,,ERCOT_BUS,SCALAR,E,PRIMARY,TX,0.0,87,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
37,54013,ERCOT,CPT,,ERCOT_BUS,IDR,D,SECONDARY,TX,0.0,9063,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
38,54014,ERCOT,CPT,,ERCOT_BUS,IDR,D,SECONDARY,TX,0.0,9064,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
39,54015,ERCOT,CPT,,ERCOT_BUS,IDR,E,PRIMARY,TX,0.0,9065,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
40,54016,ERCOT,CPT,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,9066,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
41,54017,ERCOT,CPT,,ERCOT_BUS,IDR,D,SECONDARY,TX,0.0,9067,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
42,54018,ERCOT,CPT,,ERCOT_BUS,IDR,D,SECONDARY,TX,0.0,9068,Y,"('ERCOT', 'CPT', 'ERCOT_BUS')"
43,10012,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,12,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
44,10013,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,13,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
45,10017,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,17,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
46,10018,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,18,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
47,10019,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,19,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
48,10020,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,20,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
49,10021,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,21,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
50,10022,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,22,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
51,10023,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,23,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
52,10024,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,24,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
53,10025,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,25,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
54,10026,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,26,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
55,10027,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,27,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
56,10088,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,88,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
