Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AECO,AECO_RC_RSTOUND,"Residential Time-of-Use, Non-Demand",Power,Secondary,Res-TOU,,AECO_LP_NJART
AECO,AECO_RC_SCCBASIC,Transmission Gen Service (Co-gen),Power,Transmission,General Service,,
AECO,AECO_RC_SPLBASIC,Street Private Lighting,Power,Secondary,Ltg-St,,AECO_LP_NJAOL
AECO,AECO_RC_TGSBASIC,Transmission General Service,Power,Transmission,General Service,,AECO_LP_NJAGT
AECO,AECO_RC_TGSSUBTRANS,Transmission General Service Sub Trans,Power,Transmission,General Service,,AECO_LP_NJAGN
AEP_OH_CS,AEP_OH_CS_RC_011,"Residential, Schedule RR, Load Mgmt-Water Heating",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_013,"Residential, Schedule RR",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_014,"Residential, Schedule RR1, Load Mgmt-Low Usage",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_016,"Residential, Storage Water Heating-Min 80 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_017,"Residential, Storage Water Heating-Min 100 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_018,"Residential, Storage Water Heating-Min 120 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_019,"Residential, Schedule RLM, Optional Demand Service",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_020,"Residential, Schedule RR1 w/ Storage Water Heating-Min 80 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_021,"Residential, Schedule RR1 w/ Storage Water Heating-Min 100 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_022,"Residential, Schedule RR1 w/ Storage Water Heating-Min 120 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_024,"Residential, Schedule RLM w/Storage Water Heating-Min 80 Gals, Optional Demand Service",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_025,"Residential, Schedule RLM w/Storage Water Heating-Min 100 Gals, Optional Demand Service",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_026,"Residential, Schedule RLM w/Storage Water Heating-Min 120 Gals, Optional Demand Service",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_027,"Residential, Load Mgmt-Water Heating Provision",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_028,"Residential, Schedule RR1-LMWH, Load Mgmt-Small Use-Water Heater-80 Gals",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_030,"Residential, Schedule RS-TOD-Time-Of-Day Service",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_032,"Residentail, Schedule RS-ES-Energy Storage",Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_040,EXPERIMENTAL RESIDENTIAL TIME-OF-DAY (TOD2-GRIDSMART PILOT),Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_043,RESIDENTIAL EXPERIMENTAL CRITICAL PEAK PRICING,Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_045,RESIDENTIAL EXPERIMENTAL REAL-TIME PRICING,Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_077,"General Service Small, Schedule GS-1-Unmetered Telephone Booth",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_078,"General Service Small, Schedule GS-1-Unmetered Television Cable",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_088,"Street Lighting Service, Schedule SL (Customer Owned)",Power,Secondary,Ltg-St,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_090,"Outdoor Lighting, Mecury Vapor 100 Watts (MV 100)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_091,"Outdoor Lighting, Mecury Vapor 175 Watts (MV 175)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_092,"Outdoor Lighting, Mecury Vapor 400 Watts (MV 400)",Power,Secondary,Ltg-Outdoor,AEP_OH_CS_LF_SEC,
