,SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
48,10020,ERCOT,ONCOR,,36,10020,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,20,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
49,10021,ERCOT,ONCOR,,39,10021,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,21,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
50,10022,ERCOT,ONCOR,,42,10022,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,22,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
51,10023,ERCOT,ONCOR,,44,10023,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,23,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
52,10024,ERCOT,ONCOR,,46,10024,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,24,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
53,10025,ERCOT,ONCOR,,47,10025,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,25,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
54,10026,ERCOT,ONCOR,,48,10026,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,26,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
55,10027,ERCOT,ONCOR,,49,10027,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,27,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
56,10088,ERCOT,ONCOR,,5,10088,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,88,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
57,10089,ERCOT,ONCOR,,6,10089,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,89,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
58,10090,ERCOT,ONCOR,,7,10090,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,90,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
59,10091,ERCOT,ONCOR,,8,10091,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,91,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
60,10092,ERCOT,ONCOR,,9,10092,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,92,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
61,10093,ERCOT,ONCOR,,73,10093,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,93,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
62,10094,ERCOT,ONCOR,,77,10094,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,94,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
63,10095,ERCOT,ONCOR,,83,10095,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,95,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
64,10096,ERCOT,ONCOR,,87,10096,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,96,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
