AGREEMENT,QUOTENUMBER,REVISION,METERID,AGREE_START_DATE,PR_RELEASED_DATE,MAXPARSEDUIDRAW,RECENT_PARSED_FOR_PR,SUM_OF_USAGE,ALPS_ANNUAL_KWH,ALPS_READ_COUNT,EWORX_ANNUAL_KWH,IRIS_ANNUAL_KWH,ANNUALIZED_ALPS_ANNUAL_KWH,EWN_IN_OUT_DIFF,EWX_OUT_VS_IRIS_DIFF,IRIS_VS_RAW_DIFF,EWX_sent_timestamp,PE_LSTIME,METER_TYPE,CHANNEL,BROKER_NAME,
1-IE93VR,1-ID0NDD,2,ERCOT_ONCOR_10443720004235213,2/1/2019,2/12/2019,3000671,43507.66277,30703800_12,30703800,12,20099000,29334992.91,30703800,0.345390473,0.459524997,0.044581032,02/11/2019 16:36:00,12/17/2018 11:32:52,IDR,Direct,0,
1-HVOHXD,1-HN9BZ4,1,PJM_ATSITE_08007482603000003824,2/1/2019,8/22/2018,2679222,43329.66259,2420936.68205_12,2420936.682,12,3168600,2655427.029,2420936.682,0.308832248,0.161955744,0.096859347,08/17/2018 15:48:00,10/30/2018 11:55:04,SCALAR,Direct,0,
1-I9A5KV,1-I2C74Q,1,PJM_COMED_0287192009,4/1/2019,12/3/2018,2846441,43432.53931,15529883.00645_12,15529883.01,12,20249000,19703887.69,15529883.01,0.303873313,0.026920456,0.268772449,12/03/2018 13:26:00,11/16/2018 16:36:20,IDR,KPG Broker,ECOVA INC,
1-GXMK3B,1-GX8I2K,1,ERCOT_AEPCPL_10032789444639000,5/1/2018,3/20/2018,2353276,43179.48318,2621395.86207_12,2621395.862,12,3381100,3166924.382,2621395.862,0.289809009,0.063344952,0.208106119,03/20/2018 14:26:00,02/27/2018 16:03:10,IDR,Broker,ACCLAIM ENERGY LTD,
1-HVOHXD,1-HN9BZ4,1,PJM_ATSIOE_08007482605000293533,2/1/2019,8/22/2018,2679227,43329.66259,2180923.27586_12,2180923.276,12,2811200,2384913.774,2180923.276,0.288995368,0.151638527,0.093534009,08/17/2018 15:48:00,05/17/2019 11:10:20,SCALAR,Direct,0,
1-I665G5,1-HPE8WU,1,ERCOT_ONCOR_10443720000269829,1/1/2019,9/7/2018,2703808,43348.65852,13068260.63879_12,13068260.64,12,16831000,15202893.13,13068260.64,0.287929623,0.096732628,0.163344806,09/05/2018 15:51:00,09/13/2018 11:04:05,IDR,Direct,0,
1-HVOHXD,1-HN9BZ4,1,PJM_AEPOP_00140060735671751,2/1/2019,8/22/2018,2679225,43329.66259,2492628.97731_12,2492628.977,12,3163900,2801352.919,2492628.977,0.269302423,0.114588666,0.123854751,08/17/2018 15:48:00,06/13/2019 01:51:00,SCALAR,Direct,0,
1-I5AM42,1-I40NEQ,2,PJM_PSEG_PE000012140771230912,1/1/2019,12/13/2018,2863341,43445.64853,1968033.52495_12,1968033.525,12,2490500,2366939.608,1968033.525,0.26547641,0.049612685,0.202692728,12/12/2018 09:10:00,09/13/2018 16:08:46,SCALAR,Direct,0,
1-HVOHXD,1-HN9BZ4,1,PJM_ATSIOE_08007482605000317816,2/1/2019,8/22/2018,2679241,43329.66259,2326375.99999_12,2326376,12,2943000,2525017.756,2326376,0.265057755,0.142025907,0.08538678,08/17/2018 15:48:00,03/20/2019 15:29:03,SCALAR,Direct,0,
1-HVOHXD,1-HN9BZ4,1,PJM_ATSIOE_08007482605000328559,2/1/2019,8/22/2018,2679233,43329.66259,2405021.08374_12,2405021.084,12,3013300,2545921.353,2405021.084,0.252920409,0.155105249,0.058585877,08/17/2018 15:48:00,03/20/2019 15:28:28,SCALAR,Direct,0,
1-HVOHXD,1-HN9BZ4,1,PJM_ATSITE_08007482605000301466,2/1/2019,8/22/2018,2679239,43329.66259,2371525_12,2371525,12,2929900,2527868.998,2371525,0.235449763,0.137216629,0.065925511,08/17/2018 15:48:00,05/17/2019 11:20:27,SCALAR,Direct,0,
1-HFE0R9,1-GXT2BP,1,PJM_COMED_1528398004,7/1/2018,3/23/2018,2357312,43181.60539,17772255.00001_12,17772255,12,21733000,19898964.23,17772255,0.222861139,0.084389443,0.119664569,03/23/2018 10:31:00,08/22/2018 11:07:45,IDR,Broker,Bridge Power Consulting LLC,
1-GM7PIP,1-GLS18S,2,ERCOT_ONCOR_10443720000122771,7/1/2018,1/19/2018,2254358,43118.32484,1991471.98751_9,1991471.988,9,2091200,14224555.26,2655295.983,0.212441847,5.80210179,4.357050721,01/18/2018 08:33:00,11/05/2018 08:15:22,IDR,Broker,POWER BROKERS LLC,
1-HREI3T,1-HNOZ9V,2,PJM_JCPL_08001124040005979002,12/1/2018,9/20/2018,2690785,43340.36556,4645408.21877_12,4645408.219,12,5473400,4522608.438,4645408.219,0.178238756,0.173711324,0.026434659,08/27/2018 13:41:00,09/25/2018 16:26:30,SCALAR,Broker,TRUMARX DATA PARTNERS INC,
1-I46F6P,1-H256A1,2,PJM_COMED_8969036000,1/1/2019,10/8/2018,2761127,43381.38876,58925121.12068_12,58925121.12,12,68887000,66291826.64,58925121.12,0.169059964,0.037672904,0.12501808,10/08/2018 10:36:00,01/14/2019 09:57:39,IDR,Direct,0,
1-I4NN9E,1-I3MP1E,1,PJM_BGE_1979887650,1/1/2019,12/10/2018,2713215,43356.4148,3057043.71514_12,3057043.715,12,3494400,3370578.167,3057043.715,0.143065107,0.035434362,0.102561324,09/13/2018 09:59:00,11/29/2018 12:32:24,SCALAR,Direct,0,
1-GXF0NO,1-GPY4BN,5,NEPOOL_CLP_51756553012_960042003,5/1/2018,3/20/2018,2347353,43172.73905,5496505.4_12,5496505.4,12,6247800,5881487.106,5496505.4,0.136685866,0.058630701,0.070041177,03/15/2018 07:26:00,03/01/2018 13:41:19,IDR,KPG Broker,ENERNOC INC,
1-GXF0NO,1-GPY4BN,5,NEPOOL_CLP_51422405084_341403009,5/1/2018,3/20/2018,2347303,43172.73898,2480949.17241_12,2480949.172,12,2764700,2589657.442,2480949.172,0.114371883,0.0633134,0.04381721,03/15/2018 07:27:00,03/01/2018 12:28:08,IDR,KPG Broker,ENERNOC INC,
1-HZ0AI7,1-HTP3XX,4,NEPOOL_MECO_6714880016,12/1/2018,10/17/2018,2762244,43381.91345,2994610.7143_12,2994610.714,12,2655600,2529003.804,2994610.714,0.11320694,0.04767141,0.155481615,10/08/2018 22:00:00,03/02/2019 14:10:54,IDR,Direct,0,
1-I665G5,1-HPE8WU,1,ERCOT_ONCOR_10443720008099468,1/1/2019,9/7/2018,2703807,43348.65852,5425039.33156_12,5425039.332,12,6023500,5457375.201,5425039.332,0.110314531,0.093986021,0.005960486,09/05/2018 15:51:00,09/13/2018 13:53:52,IDR,Direct,0,
1-HYDMH7,1-HSP8N8,2,PJM_AEPCS_00040621075601955,1/1/2019,11/8/2018,2747280,43371.21725,13725902.11346_12,13725902.11,12,15128000,14368216.79,13725902.11,0.10214978,0.050223639,0.046795808,10/01/2018 08:21:00,09/29/2018 04:33:20,SCALAR,Consultant,"SCHNEIDER ELECTRIC FKA SUMMIT ENERGY SERVICES, INC.",
