t,v
1/1/2019 0:00,368.1
1/1/2019 1:00,364.5
1/1/2019 2:00,366.075
1/1/2019 3:00,360.45
1/1/2019 4:00,360.675
1/1/2019 5:00,366.975
1/1/2019 6:00,384.525
1/1/2019 7:00,392.4
1/1/2019 8:00,390.825
1/1/2019 9:00,422.325
1/1/2019 10:00,443.475
1/1/2019 11:00,448.875
1/1/2019 12:00,438.975
1/1/2019 13:00,427.5
1/1/2019 14:00,401.175
1/1/2019 15:00,387.45
1/1/2019 16:00,387.225
1/1/2019 17:00,367.425
1/1/2019 18:00,356.4
1/1/2019 19:00,348.525
1/1/2019 20:00,338.85
1/1/2019 21:00,340.425
1/1/2019 22:00,338.625
1/1/2019 23:00,344.025
1/2/2019 0:00,338.175
1/2/2019 1:00,333.675
1/2/2019 2:00,337.275
1/2/2019 3:00,339.525
1/2/2019 4:00,341.325
1/2/2019 5:00,350.55
1/2/2019 6:00,379.35
1/2/2019 7:00,404.775
1/2/2019 8:00,420.3
1/2/2019 9:00,424.35
1/2/2019 10:00,424.8
1/2/2019 11:00,429.975
1/2/2019 12:00,428.4
1/2/2019 13:00,425.025
1/2/2019 14:00,414.45
1/2/2019 15:00,394.2
1/2/2019 16:00,390.6
1/2/2019 17:00,388.8
1/2/2019 18:00,374.85
1/2/2019 19:00,364.5
1/2/2019 20:00,352.8
1/2/2019 21:00,352.35
1/2/2019 22:00,351.675
1/2/2019 23:00,351.9
1/3/2019 0:00,344.25
1/3/2019 1:00,341.55
1/3/2019 2:00,342.225
1/3/2019 3:00,336.15
1/3/2019 4:00,340.425
1/3/2019 5:00,347.4
1/3/2019 6:00,371.025
1/3/2019 7:00,400.5
1/3/2019 8:00,409.95
1/3/2019 9:00,409.725
1/3/2019 10:00,420.525
1/3/2019 11:00,440.55
1/3/2019 12:00,435.825
1/3/2019 13:00,432.9
1/3/2019 14:00,424.35
1/3/2019 15:00,418.275
1/3/2019 16:00,402.975
1/3/2019 17:00,384.525
1/3/2019 18:00,373.725
1/3/2019 19:00,365.625
1/3/2019 20:00,367.875
1/3/2019 21:00,358.65
1/3/2019 22:00,361.575
1/3/2019 23:00,354.15
1/4/2019 0:00,351.45
1/4/2019 1:00,351.675
1/4/2019 2:00,349.2
1/4/2019 3:00,348.975
1/4/2019 4:00,348.3
1/4/2019 5:00,362.025
1/4/2019 6:00,383.175
1/4/2019 7:00,414
1/4/2019 8:00,421.875
1/4/2019 9:00,426.825
1/4/2019 10:00,435.6
1/4/2019 11:00,447.525
1/4/2019 12:00,450
1/4/2019 13:00,440.1
1/4/2019 14:00,438.975
1/4/2019 15:00,422.1
1/4/2019 16:00,416.475
1/4/2019 17:00,411.525
1/4/2019 18:00,403.65
1/4/2019 19:00,398.7
1/4/2019 20:00,389.925
1/4/2019 21:00,360.9
1/4/2019 22:00,356.4
1/4/2019 23:00,347.4
1/5/2019 0:00,347.85
1/5/2019 1:00,347.85
1/5/2019 2:00,351.45
1/5/2019 3:00,353.25
1/5/2019 4:00,351
1/5/2019 5:00,356.625
1/5/2019 6:00,369.675
1/5/2019 7:00,387
1/5/2019 8:00,385.65
1/5/2019 9:00,387.9
1/5/2019 10:00,383.85
1/5/2019 11:00,384.75
1/5/2019 12:00,390.6
1/5/2019 13:00,382.95
1/5/2019 14:00,378.225
1/5/2019 15:00,377.55
1/5/2019 16:00,375.075
1/5/2019 17:00,377.55
1/5/2019 18:00,366.3
1/5/2019 19:00,357.75
1/5/2019 20:00,346.5
1/5/2019 21:00,345.375
1/5/2019 22:00,345.375
1/5/2019 23:00,348.3
1/6/2019 0:00,348.3
1/6/2019 1:00,348.975
1/6/2019 2:00,349.2
1/6/2019 3:00,345.825
1/6/2019 4:00,348.3
