CUSTOMERNAME,CUSTOMERID,LDC_ACCOUNT,ACCOUNTID,JURISCODE,PROFILECODE,METERTYPE,LOSSCODE,ZONECODE,STARTTIME,STOPTIME,USAGE,PEAK,CAPTAG_STARTTIME,CAPTAG_STOPTIME,CAPTAG_DELTA,CUR_CAPTAG
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08021077120000568019,PJM_ATSIOE_08021077120000568019,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,553.73,0.89,6/1/18,5/31/2019,0.1271,0.249
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037527100000581439,PJM_ATSIOE_08037527100000581439,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"147,003.82",50.85,6/1/18,5/31/2019,-0.9064,24.3304
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004832070001328271,PJM_ATSIOE_08004832070001328271,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"3,395.19",1.70,6/1/18,5/31/2019,-0.0546,1.336
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08018563290001532116,PJM_ATSIOE_08018563290001532116,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"77,045.26",42.56,6/1/18,5/31/2019,-10.7165,18.6701
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08016358480001552612,PJM_ATSIOE_08016358480001552612,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"1,495.71",0.42,6/1/18,5/31/2019,-0.0419,0.3424
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037555400000180458,PJM_ATSIOE_08037555400000180458,OH,OE_C3,N,PRIMARY,FEOHIOOE,6/1/19,5/31/20,"469,298.60",125.63,6/1/18,5/31/2019,-63.5453,60.1934
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006159190000181077,PJM_ATSIOE_08006159190000181077,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"12,672.06",5.90,6/1/18,5/31/2019,0.8229,3.9792
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08018563295000332656,PJM_ATSIOE_08018563295000332656,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"1,333.14",0.60,6/1/18,5/31/2019,0.0771,0.4355
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037532115000331363,PJM_ATSICE_08037532115000331363,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"1,039,650.72",266.52,6/1/18,5/31/2019,-114.4793,166.5505
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005954221590000250,PJM_ATSICE_08005954221590000250,OH,CE_C3,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"37,964.71",11.35,6/1/18,5/31/2019,-2.2826,6.1673
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037532114000013974,PJM_ATSICE_08037532114000013974,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"760,235.83",182.50,6/1/18,5/31/2019,-19.2360,168.3409
